id_anuncio	capacidade	nro_quartos	nro_banheiros	regiao_bairro	tipo_acomodacao	avaliacao_media	distancia_ponto_turistico_km	nro_avaliacoes	possui_piscina	possui_estacionamento	possui_wifi	aceita_animais	politica_cancelamento	idioma_anuncio	tempo_resposta_anfitriao_h	preco_diaria
H000001	2	1	1	Pelourinho_Salvador_BA	quarto_privativo	4.36	11.18	37	nao	sim	sim	nao	rigorosa	portugues	0.45	156.58
H000002	4	2	1	Vila_Madalena_SP	espaco_inteiro	4.41	0.77	48	nao	nao	sim	nao	rigorosa	portugues	10.77	468.49
H000003	5	3	2	Savassi_BH_MG	espaco_inteiro	4.25	6.74	0	nao	sim	sim	nao	flexivel	portugues	1.23	554.0
H000004	1	1	2	Asa_Sul_Brasilia_DF	quarto_privativo	4.05	9.21	53	nao	nao	sim	nao	flexivel	portugues	9.98	156.71
H000005	5	3	1	Ipanema_RJ	espaco_inteiro	4.8	4.2	57	sim	sim	sim	sim	moderada	portugues	2.25	1122.68
H000006	2	1	1	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.54	3.86	19	nao	sim	sim	nao	flexivel	portugues	2.78	635.74
H000007	1	1	1	Pelourinho_Salvador_BA	quarto_privativo	4.72	3.44	112	nao	sim	sim	sim	rigorosa	espanhol	1.2	344.29
H000008	4	3	3	Pelourinho_Salvador_BA	espaco_inteiro	4.6	2.2	23	nao	sim	sim	sim	flexivel	portugues	11.29	695.12
H000009	7	3	2	Copacabana_RJ	espaco_inteiro	4.29	0.33	90	sim	sim	sim	nao	flexivel	ingles	1.88	1295.62
H000010	4	2	2	Vila_Madalena_SP	quarto_privativo	4.32	2.43	75	nao	nao	sim	nao	rigorosa	portugues	0.91	560.9
H000011	5	2	1	Pinheiros_SP	espaco_inteiro	4.44	2.06	59	sim	nao	sim	nao	flexivel	portugues	0.42	1091.33
H000012	3	2	1	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.6	1.81	31	nao	sim	sim	nao	flexivel	ingles	6.07	532.59
H000013	4	2	2	Boa_Viagem_Recife_PE	quarto_privativo	4.35	0.27	1	nao	sim	sim	nao	moderada	portugues	4.34	441.47
H000014	3	2	2	Pelourinho_Salvador_BA	quarto_privativo	4.78	0.41	151	nao	sim	sim	nao	flexivel	portugues	0.63	1059.64
H000015	5	2	2	Vila_Madalena_SP	espaco_inteiro	4.07	1.11	1	nao	nao	sim	nao	flexivel	frances	7.87	734.34
H000016	5	2	1	Copacabana_RJ	espaco_inteiro	4.33	1.23	26	nao	sim	sim	nao	rigorosa	portugues	2.0	754.36
H000017	2	1	1	Centro_SP	quarto_privativo	4.25	3.92	59	nao	sim	sim	nao	rigorosa	portugues	2.15	308.42
H000018	7	3	3	Ipanema_RJ	espaco_inteiro	4.52	0.5	23	nao	nao	sim	sim	rigorosa	portugues	4.47	1042.44
H000019	3	3	2	Pelourinho_Salvador_BA	espaco_inteiro	4.17	7.64	43	nao	nao	nao	nao	moderada	portugues	13.76	427.22
H000020	5	2	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.42	2.55	21	nao	nao	sim	nao	flexivel	portugues	2.79	818.17
H000021	1	1	1	Asa_Sul_Brasilia_DF	quarto_privativo	4.21	2.37	17	nao	sim	sim	nao	rigorosa	portugues	4.91	468.97
H000022	4	2	1	Pinheiros_SP	quarto_privativo	4.25	1.7	48	nao	sim	sim	nao	moderada	portugues	10.05	525.98
H000023	4	1	1	Praia_Iracema_Fortaleza_CE	quarto_privativo	4.76	4.22	37	nao	sim	sim	nao	flexivel	portugues	7.6	154.97
H000024	3	1	1	Savassi_BH_MG	espaco_inteiro	4.25	7.02	62	nao	nao	sim	nao	flexivel	portugues	4.82	657.92
H000025	1	1	1	Pelourinho_Salvador_BA	quarto_privativo	4.11	0.33	74	nao	nao	sim	nao	moderada	portugues	4.17	203.14
H000026	6	2	1	Copacabana_RJ	espaco_inteiro	4.43	2.0	28	sim	sim	sim	nao	flexivel	espanhol	6.58	1016.11
H000027	4	3	3	Vila_Madalena_SP	espaco_inteiro	4.32	1.5	84	sim	nao	sim	sim	moderada	portugues	1.76	880.06
H000028	4	1	2	Ipanema_RJ	quarto_privativo	4.76	4.49	34	nao	sim	sim	nao	moderada	portugues	3.57	931.08
H000029	7	3	3	Copacabana_RJ	espaco_inteiro	4.71	0.94	50	nao	nao	sim	nao	moderada	espanhol	7.45	994.53
H000030	3	2	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.83	4.57	62	sim	sim	sim	sim	flexivel	ingles	0.86	1107.79
H000031	5	2	2	Asa_Sul_Brasilia_DF	espaco_inteiro	4.48	9.34	44	nao	sim	sim	nao	moderada	portugues	1.96	271.84
H000032	5	2	1	Praia_Iracema_Fortaleza_CE	espaco_inteiro	4.54	9.6	44	nao	sim	sim	nao	flexivel	portugues	2.61	275.21
H000033	6	2	2	Pinheiros_SP	espaco_inteiro	4.68	1.17	32	sim	nao	sim	nao	moderada	portugues	0.9	1135.36
H000034	6	2	2	Pinheiros_SP	espaco_inteiro	4.71	0.16	18	sim	sim	sim	nao	flexivel	portugues	3.34	1405.64
H000035	7	3	2	Vila_Madalena_SP	espaco_inteiro	4.68	1.4	63	nao	sim	sim	sim	moderada	portugues	0.2	816.29
H000036	3	2	1	Copacabana_RJ	quarto_privativo	4.7	1.42	41	nao	nao	sim	sim	rigorosa	portugues	18.78	567.32
H000037	3	2	2	Copacabana_RJ	espaco_inteiro	4.53	4.35	1	nao	nao	sim	nao	rigorosa	frances	2.62	895.89
H000038	4	2	1	Vila_Madalena_SP	quarto_privativo	4.5	1.65	47	nao	nao	sim	sim	flexivel	portugues	0.71	806.63
H000039	4	2	1	Copacabana_RJ	quarto_privativo	4.83	1.18	28	nao	nao	sim	nao	moderada	portugues	3.09	972.8
H000040	2	1	2	Boa_Viagem_Recife_PE	quarto_privativo	4.47	7.82	60	nao	nao	sim	nao	rigorosa	frances	5.12	299.88
H000041	2	2	2	Vila_Madalena_SP	quarto_privativo	4.46	2.95	56	nao	nao	sim	nao	flexivel	portugues	11.47	313.24
H000042	6	2	2	Pelourinho_Salvador_BA	espaco_inteiro	4.68	6.19	37	nao	sim	sim	nao	moderada	portugues	1.62	843.89
H000043	8	4	2	Asa_Sul_Brasilia_DF	espaco_inteiro	4.25	0.11	49	nao	sim	sim	sim	flexivel	portugues	3.22	778.59
H000044	2	2	2	Pinheiros_SP	espaco_inteiro	4.19	0.36	52	sim	sim	sim	nao	rigorosa	portugues	0.48	912.79
H000045	3	2	2	Pelourinho_Salvador_BA	quarto_privativo	4.84	1.94	93	nao	sim	sim	nao	flexivel	portugues	1.09	580.42
H000046	8	4	2	Pelourinho_Salvador_BA	espaco_inteiro	4.81	1.85	47	nao	sim	sim	nao	rigorosa	portugues	1.31	965.69
H000047	2	2	1	Vila_Madalena_SP	quarto_privativo	4.18	6.31	33	nao	sim	sim	nao	rigorosa	ingles	0.2	719.57
H000048	4	1	1	Pinheiros_SP	espaco_inteiro	4.77	4.57	40	nao	sim	sim	sim	moderada	portugues	3.02	456.99
H000049	1	1	1	Boa_Viagem_Recife_PE	quarto_privativo	4.7	1.67	150	nao	nao	sim	nao	flexivel	ingles	0.72	630.27
H000050	3	1	2	Copacabana_RJ	espaco_inteiro	4.48	0.13	23	nao	nao	sim	sim	moderada	portugues	2.44	720.02
H000051	2	1	2	Copacabana_RJ	espaco_inteiro	4.72	4.61	42	nao	nao	sim	nao	flexivel	portugues	8.08	642.7
H000052	6	2	1	Ipanema_RJ	espaco_inteiro	4.39	0.18	41	sim	nao	sim	sim	moderada	portugues	1.61	1335.83
H000053	5	2	2	Pelourinho_Salvador_BA	espaco_inteiro	4.19	1.46	43	nao	sim	sim	nao	flexivel	portugues	0.2	767.04
H000054	5	3	2	Boa_Viagem_Recife_PE	espaco_inteiro	4.55	2.28	18	sim	sim	sim	sim	moderada	portugues	2.91	839.65
H000055	1	1	1	Asa_Sul_Brasilia_DF	quarto_privativo	4.68	0.41	40	nao	sim	sim	nao	moderada	portugues	6.06	692.16
H000056	3	2	2	Pelourinho_Salvador_BA	quarto_privativo	4.8	3.13	32	nao	sim	sim	sim	rigorosa	portugues	10.19	639.52
H000057	3	1	1	Vila_Madalena_SP	quarto_privativo	4.3	2.34	60	nao	sim	sim	sim	flexivel	portugues	0.54	865.39
H000058	5	4	4	Centro_SP	espaco_inteiro	4.81	2.98	103	sim	nao	sim	sim	rigorosa	portugues	8.79	1072.73
H000059	3	1	2	Copacabana_RJ	quarto_privativo	4.34	1.56	63	nao	sim	sim	sim	rigorosa	portugues	8.97	578.43
H000060	2	2	1	Ipanema_RJ	quarto_privativo	4.4	2.92	53	nao	sim	sim	nao	rigorosa	portugues	5.05	724.39
