seller_id,uf,tot_orders,tot_items,tot_items_dist,receita,recencia,churn
0015a82c2db000af6aaaf3ae2ecb0532,SP,3,3,1,2685.0,105,1
001cca7ae9ae17fb1caed9dfb1094831,ES,179,215,9,22189.230000000014,2,0
002100f778ceb8431b7a1020ff7ab48f,SP,41,45,18,859.4999999999993,16,0
003554e2dce176b5555353e4f3555ac8,GO,1,1,1,120.0,47,1
004c9cd9d87a3c30c522c48c4fc07416,SP,132,143,77,16619.09999999998,0,0
00720abe85ba0859807595bbf045a33b,SP,1,2,1,156.0,4,0
00ab3eff1b5192e5f1a63bcecfee11c8,SP,1,1,1,98.0,319,1
00ee68308b45bc5e2660cd833c3f81cc,SP,81,101,15,10532.0,2,0
00fc707aaaad2d31347cf883cd2dfe10,PR,2,3,1,260.4,0,0
010543a62bd80aa422851e79a3bc7540,SP,2,2,1,1416.0,182,1
013900e863eace745d3ec7614cab5b1a,PR,15,18,13,1046.1999999999998,11,0
014c0679dd340a0e338872e7ec85666a,MG,7,7,5,2897.0,24,0
014d9a685fd57276679edd00e07089e5,PR,2,2,1,139.98,30,0
0176f73cc1195f367f7b32db1e5b3aa8,SP,9,9,5,1435.1000000000001,1,0
01bcc9d254a0143f0ce9791b960b2a47,GO,9,9,2,1227.31,16,0
01c97ebb5cdac52891c0ed1c37ba0012,SP,5,6,1,176.4,85,0
01cf7e3d21494c41fb86034f2e714fa1,PR,50,56,21,7961.759999999996,170,0
01ed254b9ff8407dfb9d99ba1e17d923,SP,5,5,2,1465.99,84,1
01fdefa7697d26ad920e9e0346d4bd1b,PR,77,79,13,9651.869999999986,2,0
0241d4d5d36f10f80c644447315af0bd,PR,50,52,22,4773.9,0,0
0249d282d911d23cb8b869ab49c99f53,SP,10,10,4,371.0,69,0
024b564ae893ce8e9bfa02c10a401ece,SP,1,2,1,239.0,353,1
028872bfa080090a9d0abd4f1af168f8,MG,1,3,1,70.5,165,1
02c988090b766852e088c69d7fb3b551,SP,6,10,6,639.97,25,0
02d35243ea2e497335cd0f076b45675d,RN,12,14,2,5246.0,44,0
02ecc2a19303f05e59ce133fd923fff7,SP,11,13,10,2807.3,4,0
02f5837340d7eb4f653d676c7256523a,PR,24,24,1,3177.1099999999997,15,0
0307f7565ff85b299b6e5ef162b1b1a9,SP,5,5,5,4695.0,251,1
042573af89b6d931f672efaf789d8358,SP,2,2,2,238.49,8,0
04308b1ee57b6625f47df1d56f00eedf,SC,8,8,6,8925.199999999999,25,0
0432ead42b6c8a0bdf68154add917fdf,SP,76,81,51,7056.999999999991,5,0
048c2757535328e0d7dac690ad3c0aae,SP,25,25,13,4465.499999999998,9,0
04aa0a1c5ce6b222003403a3e11c3cc0,SP,11,17,8,5518.0,7,1
04aba03279157f6d4e0fe8ccaf21963c,RJ,10,10,8,1572.0,16,0
04e38a233f726ef161074ab1c9b0399a,SP,14,18,8,651.1999999999997,12,0
04fdea0c111866e6cf812f1570d6b5bd,SP,7,7,2,770.0,9,0
0509040ea3fe50071181bbc359eb7738,MG,64,71,26,2516.850000000001,11,0
052577151711aec5c744fe12e66db3e1,SC,1,1,1,687.0,97,1
054694fa03fe82cec4b7551487331d74,SP,13,13,10,5254.1,19,0
056b4ada5bbc2c50cc7842547dda6b51,RJ,6,6,6,1270.96,1,0
058cb5aeb36d7c0fcae20fc85d5e0a59,RJ,3,3,3,276.0,117,0
058fd0aa2bfdb2274e05e1ae971dabb6,SP,39,40,7,4920.5,17,0
05a940b4ecae36cadfd8e93bd9c43257,GO,8,8,7,651.1999999999999,26,0
05d2173d43ea568aa0540eba70d2ca76,MG,22,23,17,2570.7899999999995,1,0
