id_cliente,sexo,idade,financiamento,desconto,churn
1,1,42,0,10,0
2,0,38,0,10,0
3,1,31,0,10,0
4,1,32,0,50,0
5,0,54,1,100,0
6,1,32,0,100,0
7,0,36,0,50,0
8,1,31,0,100,0
9,0,40,0,10,0
10,0,31,0,50,0
11,1,48,0,50,1
12,0,33,1,25,1
13,1,52,0,25,1
14,0,38,0,5,1
15,0,35,0,10,0
16,1,60,0,10,0
17,0,57,0,10,1
18,0,42,1,10,0
19,1,38,0,100,0
20,1,57,0,50,1
21,0,63,0,10,1
22,0,44,0,5,1
23,0,34,0,25,0
24,1,53,0,10,1
25,1,43,1,10,0
26,1,47,0,10,0
27,0,28,0,10,1
28,1,40,0,100,0
29,1,43,0,25,1
30,0,43,0,10,0
31,0,39,0,50,0
32,0,64,0,5,1
33,0,42,0,0,1
34,1,46,0,100,0
35,1,38,0,25,0
36,1,37,1,10,0
37,1,37,0,5,0
38,1,35,0,5,0
39,0,54,0,25,0
40,0,44,0,5,1
41,1,33,0,25,1
42,0,40,0,5,1
43,1,42,1,25,0
44,1,45,1,10,0
45,1,32,1,50,0
46,0,56,1,5,1
47,0,35,0,10,1
48,1,54,0,10,1
49,0,27,0,25,1
50,0,51,1,25,0
51,0,58,0,25,0
52,1,47,0,25,1
53,0,36,1,0,1
54,1,42,1,25,0
55,1,34,1,10,0
56,1,47,0,5,0
57,0,54,0,10,1
58,1,28,0,10,1
59,0,29,0,5,1
60,1,52,0,25,1
61,1,44,0,25,0
62,1,58,0,10,1
63,0,51,0,10,1
64,1,35,1,0,0
65,1,49,1,0,1
66,0,73,1,10,1
67,1,52,0,5,1
68,1,44,0,50,0
69,1,36,0,25,1
70,0,36,1,5,1
71,1,41,0,100,1
72,0,52,0,25,1
73,0,32,0,50,0
74,0,48,0,25,1
75,1,38,0,25,0
76,1,53,0,100,0
77,0,41,0,25,1
78,1,20,0,50,0
79,1,50,0,5,1
80,1,41,1,25,0
81,1,26,0,10,1
82,0,39,0,50,1
83,0,51,1,25,0
84,1,53,1,25,0
85,1,45,1,25,0
86,0,67,1,5,0
87,1,51,1,10,0
88,1,44,0,5,1
89,0,44,0,5,0
90,1,41,0,100,0
91,1,66,1,25,1
92,0,38,0,5,0
93,0,33,0,50,0
94,1,54,1,5,1
95,0,36,0,5,1
96,0,47,1,25,0
97,0,50,0,5,1
98,0,54,1,5,0
99,1,36,0,5,1
100,1,75,0,100,0
101,1,50,0,5,1
102,1,32,0,25,0
103,0,34,0,5,1
104,0,53,1,25,0
105,1,60,0,50,1
106,0,42,0,25,0
107,0,30,0,5,1
108,0,42,1,10,1
109,1,34,0,10,1
110,0,57,0,50,1
111,1,50,0,50,1
112,0,55,0,50,1
113,0,27,0,10,0
114,0,47,0,10,1
115,0,25,0,25,1
116,0,47,0,5,0
117,1,43,0,0,1
118,0,51,1,5,0
119,0,51,0,5,1
120,1,54,0,5,1
121,0,32,0,25,1
122,0,39,0,50,0
123,1,43,0,25,1
124,1,41,0,10,0
125,0,45,0,50,0
126,0,53,1,5,1
127,1,52,0,5,1
128,1,58,0,25,1
129,0,45,0,5,1
130,1,59,1,5,0
131,0,48,0,10,1
132,1,46,0,25,1
133,1,41,1,10,1
134,0,51,1,50,0
135,0,44,0,50,1
136,1,43,0,25,0
137,0,50,1,5,1
138,1,41,0,25,1
139,1,38,0,25,0
140,0,50,0,10,1
141,0,36,1,25,0
142,1,44,1,50,0
143,0,53,0,25,0
144,1,54,1,10,0
145,0,55,0,5,1
146,0,67,1,10,0
147,1,43,0,25,1
148,0,53,0,10,1
149,1,24,0,100,0
150,0,44,0,10,0
151,1,38,1,25,1
152,1,48,0,100,0
153,0,56,0,25,1
154,0,34,0,100,0
155,1,60,0,25,1
156,1,41,0,10,0
157,1,51,0,0,1
158,0,70,0,10,0
159,1,27,0,100,1
160,1,33,1,25,0
161,1,49,0,0,1
162,1,38,0,10,1
163,0,72,1,25,1
164,1,52,1,25,0
165,1,48,0,0,1
166,1,45,0,25,0
167,1,52,0,100,0
168,1,27,1,25,0
169,1,38,1,5,1
170,1,47,1,25,0
171,0,51,0,100,0
172,1,30,0,25,0
173,1,39,0,10,0
174,1,18,0,50,0
175,1,46,0,10,0
176,1,31,0,100,0
177,0,59,0,10,0
178,0,41,1,0,1
179,1,29,0,100,0
180,0,35,0,10,1
181,0,31,0,25,1
182,0,47,0,0,1
183,0,40,0,10,0
184,0,45,0,10,1
185,0,43,0,25,1
186,1,29,0,10,1
187,0,38,0,25,1
188,1,44,1,100,0
189,1,40,1,100,0
190,0,37,0,10,1
191,0,41,1,10,0
192,0,37,1,10,0
193,1,40,0,50,0
194,0,43,1,10,0
195,0,46,0,25,0
196,1,49,1,50,0
197,1,21,0,5,1
198,0,53,1,5,1
199,1,44,1,25,0
200,1,30,0,50,0
201,0,67,1,25,0
202,1,37,1,10,0
203,1,50,0,5,1
204,1,34,0,5,1
205,1,71,0,10,1
206,0,30,0,5,1
207,0,41,1,0,1
208,1,43,0,10,0
209,1,54,0,25,0
210,0,26,1,25,1
211,1,62,0,100,0
212,0,71,0,25,1
213,0,36,1,10,0
214,1,65,0,10,1
215,1,49,0,10,1
216,1,45,0,25,1
217,0,43,0,0,1
218,1,35,0,50,0
219,1,50,0,25,1
220,1,29,0,50,1
221,1,40,1,10,1
222,1,49,0,50,0
223,1,50,0,0,1
224,1,21,1,10,0
