"cement","blast_furnace_slag","fly_ash","water","superplasticizer","coarse_aggregate","fine_aggregate","age","concrete_compressive_strength"
5400,0,0,1620,25,10400,6760,28,7999
5400,0,0,1620,25,10550,6760,28,6189
3325,1425,0,2280,0,9320,5940,270,4027
3325,1425,0,2280,0,9320,5940,365,4105
1986,1324,0,1920,0,9784,8255,360,4430
2660,1140,0,2280,0,9320,6700,90,4703
3800,950,0,2280,0,9320,5940,365,4370
3800,950,0,2280,0,9320,5940,28,3645
2660,1140,0,2280,0,9320,6700,28,4585
4750,0,0,2280,0,9320,5940,28,3929
1986,1324,0,1920,0,9784,8255,90,3807
1986,1324,0,1920,0,9784,8255,28,2802
4275,475,0,2280,0,9320,5940,270,4301
1900,1900,0,2280,0,9320,6700,90,4233
3040,760,0,2280,0,9320,6700,28,4781
3800,0,0,2280,0,9320,6700,90,5291
1396,2094,0,1920,0,10470,8069,90,3936
3420,380,0,2280,0,9320,6700,365,5614
3800,950,0,2280,0,9320,5940,90,4056
4750,0,0,2280,0,9320,5940,180,4262
4275,475,0,2280,0,9320,5940,180,4184
1396,2094,0,1920,0,10470,8069,28,2824
1396,2094,0,1920,0,10470,8069,3,806
1396,2094,0,1920,0,10470,8069,180,4421
3800,0,0,2280,0,9320,6700,365,5252
3800,0,0,2280,0,9320,6700,270,5330
3800,950,0,2280,0,9320,5940,270,4115
3420,380,0,2280,0,9320,6700,180,5212
4275,475,0,2280,0,9320,5940,28,3743
4750,0,0,2280,0,9320,5940,7,3860
3040,760,0,2280,0,9320,6700,365,5526
2660,1140,0,2280,0,9320,6700,365,5291
1986,1324,0,1920,0,9784,8255,180,4172
4750,0,0,2280,0,9320,5940,270,4213
1900,1900,0,2280,0,9320,6700,365,5369
2375,2375,0,2280,0,9320,5940,270,3841
2375,2375,0,2280,0,9320,5940,28,3008
3325,1425,0,2280,0,9320,5940,90,3772
4750,0,0,2280,0,9320,5940,90,4223
2375,2375,0,2280,0,9320,5940,180,3625
3420,380,0,2280,0,9320,6700,90,5046
4275,475,0,2280,0,9320,5940,365,4370
2375,2375,0,2280,0,9320,5940,365,3900
3800,0,0,2280,0,9320,6700,180,5310
4275,475,0,2280,0,9320,5940,90,4154
4275,475,0,2280,0,9320,5940,7,3508
3490,0,0,1920,0,10470,8069,3,1505
3800,950,0,2280,0,9320,5940,180,4076
2375,2375,0,2280,0,9320,5940,7,2626
3800,950,0,2280,0,9320,5940,7,3282
3325,1425,0,2280,0,9320,5940,180,3978
1900,1900,0,2280,0,9320,6700,180,4693
2375,2375,0,2280,0,9320,5940,90,3312
3040,760,0,2280,0,9320,6700,90,4919
1396,2094,0,1920,0,10470,8069,7,1459
1986,1324,0,1920,0,9784,8255,7,1464
4750,0,0,2280,0,9320,5940,365,4193
1986,1324,0,1920,0,9784,8255,3,913
