sigla_uf	nome_municipio	ano	ibc	cobertura_pop_4g5g	fibra	adensamento_estacoes	densidade_smp	hhi_smp	densidade_scm	hhi_scm
RO	Santa Luzia D'Oeste	2024	49.92	62.98	100	25.39	44.00	51	23.87	47
AC	Marechal Thaumaturgo	2024	16.28	30.35	0	8.36	36.72	16	8.04	33
AM	Caapiranga	2024	29.17	50.91	50	17.47	26.62	7	0.65	71
AM	Juruá	2024	20.06	53.33	0	13.45	36.33	36	5.85	19
PA	Baião	2024	34.08	52.82	100	6.26	20.46	15	2.85	52
PA	Porto de Moz	2024	20.54	44.82	0	5.72	32.96	29	7.69	72
TO	Filadélfia	2024	33.71	58.21	50	19.17	49.99	9	1.85	70
TO	Jaú do Tocantins	2024	45.29	50.89	100	58.77	41.38	11	12.93	43
TO	Pindorama do Tocantins	2024	35.01	68.55	50	21.76	45.65	2	2.88	70
MA	Belágua	2024	40.34	66.49	100	17.21	30.83	2	6.40	41
MA	Fortaleza dos Nogueiras	2024	44.39	62.99	100	7.72	49.06	50	4.02	76
MA	Porto Franco	2024	53.05	81.00	100	8.16	55.71	66	26.19	70
PI	Novo Santo Antônio	2024	39.40	50.20	50	51.98	53.64	4	0.35	55
PI	São Francisco do Piauí	2024	39.94	44.89	100	27.76	47.82	1	10.04	10
PI	São João do Piauí	2024	47.18	71.75	100	15.88	50.83	15	28.11	55
PI	São José do Divino	2024	40.80	63.55	50	30.57	49.56	8	0.10	70
CE	Cascavel	2024	65.35	95.43	100	20.95	57.60	67	43.73	79
CE	Catunda	2024	41.15	65.44	50	32.36	35.09	32	35.15	6
CE	Granja	2024	48.95	65.35	100	16.18	32.86	61	9.14	71
CE	Salitre	2024	37.75	60.27	50	17.42	31.04	32	4.81	50
RN	Bodó	2024	36.42	62.52	0	63.48	19.24	63	14.71	57
RN	Natal	2024	80.11	100.00	100	39.79	75.13	69	70.20	72
RN	Santana do Matos	2024	31.05	47.80	50	11.77	34.97	43	6.79	45
PB	Borborema	2024	47.49	97.99	0	35.45	53.57	35	0.18	67
PB	Cacimbas	2024	29.50	38.46	0	26.75	25.90	29	0.07	71
PB	Poço de José de Moura	2024	50.94	91.06	50	24.27	36.96	13	23.42	65
PB	Salgado de São Félix	2024	29.93	56.30	0	17.01	27.62	41	18.41	62
PE	Escada	2024	61.95	93.47	100	15.26	56.24	35	32.36	49
PE	Ferreiros	2024	49.74	99.46	50	12.66	31.31	9	24.00	49
PE	Iati	2024	25.37	52.86	0	17.04	58.23	4	3.41	15
PE	Iguaraci	2024	36.65	63.87	0	35.19	35.86	48	0.73	78
PE	São Lourenço da Mata	2024	68.40	99.36	100	25.90	55.13	65	28.10	63
PE	Verdejante	2024	27.31	58.37	0	10.56	24.69	40	21.37	36
AL	Piranhas	2024	45.68	81.04	50	19.52	47.59	45	12.64	58
BA	América Dourada	2024	60.08	91.91	100	28.88	80.12	20	18.10	19
BA	Aurelino Leal	2024	41.07	79.80	50	17.53	45.08	6	12.53	39
BA	Botuporã	2024	35.36	48.14	50	13.15	36.13	54	1.71	71
BA	Canudos	2024	28.42	61.40	0	18.01	44.65	59	0.21	70
BA	Jussara	2024	50.76	83.43	100	17.69	42.98	45	19.62	50
BA	Riachão das Neves	2024	22.85	52.51	0	15.68	31.79	42	10.01	37
BA	Sebastião Laranjeiras	2024	22.37	42.10	0	15.61	25.92	47	0.86	66
BA	Teolândia	2024	30.68	56.04	50	6.28	32.39	5	4.13	17
MG	Águas Vermelhas	2024	40.47	85.92	50	17.26	41.69	31	14.74	16
MG	Andradas	2024	57.75	90.90	50	21.29	58.51	48	61.21	18
MG	Campanha	2024	47.10	96.38	0	18.37	55.39	44	15.69	59
MG	Catas Altas da Noruega	2024	39.68	58.28	0	47.76	45.14	38	5.97	58
MG	Felisburgo	2024	31.09	76.88	0	22.75	44.90	44	9.48	26
MG	Juramento	2024	36.72	74.91	0	52.42	40.59	7	0.92	67
MG	Malacacheta	2024	54.62	75.07	100	11.27	48.38	47	28.67	41
MG	Perdões	2024	70.14	97.99	100	31.83	63.69	28	61.67	45
MG	Poté	2024	51.91	71.40	100	25.45	46.79	41	8.87	41
MG	Santos Dumont	2024	72.09	96.19	100	20.74	56.61	59	66.22	70
MG	São Francisco	2024	53.17	83.27	100	19.36	53.70	26	6.87	62
MG	São João da Lagoa	2024	32.07	67.64	0	40.40	47.35	16	2.42	48
MG	São João do Pacuí	2024	38.39	71.67	0	49.36	43.12	0	0.43	79
MG	São José do Divino	2024	34.55	74.70	0	42.84	48.44	47	5.36	23
ES	Brejetuba	2024	55.34	63.65	100	29.32	50.56	4	30.71	49
RJ	Duas Barras	2024	60.09	76.67	100	26.42	48.93	56	40.62	64
RJ	Engenheiro Paulo de Frontin	2024	67.37	84.33	100	47.44	61.31	64	3.48	80
SP	Arandu	2024	69.44	93.52	100	56.74	52.56	29	65.21	56
SP	Borborema	2024	67.52	96.87	100	41.62	65.33	19	65.70	32
SP	Buri	2024	58.82	85.78	100	14.51	53.44	16	58.04	63
SP	Caconde	2024	59.06	79.29	100	14.48	52.50	52	40.57	65
SP	Cedral	2024	68.77	91.69	100	26.60	64.50	62	61.65	16
SP	Iaras	2024	54.56	68.39	100	54.50	34.02	31	23.01	49
SP	Indiana	2024	63.45	96.24	50	48.16	66.00	30	53.17	49
SP	Irapuru	2024	57.37	97.53	100	27.99	48.85	63	28.55	61
SP	Itirapuã	2024	69.27	90.31	100	25.59	78.52	36	67.31	69
SP	Jarinu	2024	80.01	99.45	100	35.42	79.22	51	74.15	81
SP	José Bonifácio	2024	67.27	97.71	100	21.13	64.81	55	57.17	25
SP	Júlio Mesquita	2024	63.73	98.54	100	34.82	54.05	44	14.33	60
SP	Mirassolândia	2024	58.44	95.08	50	41.92	62.27	50	34.53	43
SP	Natividade da Serra	2024	56.88	68.11	50	100.00	57.36	37	9.95	79
SP	Palmares Paulista	2024	66.11	99.77	100	15.45	62.76	36	34.84	48
SP	Pardinho	2024	78.26	95.53	100	33.87	65.59	52	100.00	48
SP	São José do Barreiro	2024	58.63	81.78	50	76.96	55.69	26	66.12	76
SP	São José do Rio Preto	2024	79.86	99.99	100	20.83	76.08	72	81.21	76
SP	Taboão da Serra	2024	73.18	100.00	100	13.19	62.04	67	61.71	69
SP	Vera Cruz	2024	65.65	95.37	100	29.14	55.61	51	24.04	69
PR	Arapongas	2024	74.69	99.16	100	21.39	63.99	59	68.09	86
PR	Bom Sucesso	2024	63.22	90.03	100	37.44	65.11	51	11.12	54
PR	Califórnia	2024	67.03	92.53	100	33.63	61.28	49	16.48	75
PR	Cruzmaltina	2024	62.01	69.14	100	69.06	70.47	6	11.91	64
PR	Guaraqueçaba	2024	37.54	56.28	0	80.28	46.68	44	2.44	62
PR	Marechal Cândido Rondon	2024	71.95	93.93	100	17.20	61.90	53	82.34	59
PR	Palmeira	2024	63.84	76.53	100	30.17	58.03	48	45.51	83
PR	Pontal do Paraná	2024	79.43	95.71	100	50.89	91.23	64	58.26	45
PR	São José da Boa Vista	2024	47.02	72.39	50	49.50	41.25	25	19.88	20
PR	São Pedro do Iguaçu	2024	62.61	87.77	50	52.00	51.45	59	43.99	57
PR	São Sebastião da Amoreira	2024	65.75	96.65	100	18.52	51.53	53	35.90	58
SC	Água Doce	2024	57.99	62.57	100	45.28	52.21	50	54.75	55
SC	Atalanta	2024	55.24	72.81	100	30.58	20.96	43	39.83	43
SC	Guarujá do Sul	2024	71.65	85.75	100	30.62	68.23	57	53.28	64
SC	Ipumirim	2024	55.11	54.64	100	24.80	47.00	48	64.07	29
SC	Maravilha	2024	75.49	95.24	100	18.24	64.55	65	79.39	65
SC	Nova Veneza	2024	79.06	92.58	100	35.80	86.86	55	81.26	72
SC	Novo Horizonte	2024	65.07	55.88	100	74.91	85.32	29	9.36	57
SC	Santa Rosa do Sul	2024	60.61	84.48	50	24.30	81.34	54	56.30	32
SC	Urubici	2024	66.30	70.72	100	31.68	65.59	58	100.00	61
SC	Xaxim	2024	64.46	91.59	100	8.85	59.36	62	35.04	50
RS	Cruzeiro do Sul	2024	59.61	95.45	50	23.86	50.06	53	56.64	37
RS	Esmeralda	2024	44.12	74.28	0	76.59	57.29	32	39.37	23
