TIMESTAMP,RECORD,BattV_Min,Quantum_Avg(1),Quantum_Avg(2),Quantum_Avg(3),Quantum_Avg(4),Temp_1_Avg,Temp_2_Avg,Temp_3_Avg,Temp_4_Avg,RH_1_Avg,RH_2_Avg,RH_3_Avg,RH_4_Avg,Rain_mm_Sul_Tot,DifuseRadiation_Avg,TotalRadiation_Avg
07-12-2018 15:30,6677,13.49,345.3,85.9,39.69,6.377,27.74,25.87,24.92,-39.24,90,38.85,30.55,18.07,0.0,244.7,261.1
07-12-2018 16:00,6678,13.5,205.8,44.38,25.94,4.649,27.6,25.78,24.83,-39.12,88.7,39.07,30.69,18.44,0.0,156.1,162.1
07-12-2018 16:30,6679,13.5,204.8,48.67,24.72,3.163,27.49,25.76,24.96,-39.12,89.7,39.67,31.27,18.76,0.0,161.6,165.3
07-12-2018 17:00,6680,13.5,146.6,30.18,15.18,1.685,27.39,25.67,25.06,-39.13,90.9,39.14,30.87,18.43,0.0,111.1,116.0
07-12-2018 17:30,6681,13.51,135.9,25.48,10.8,1.117,27.29,25.53,25.04,-38.9,92.1,38.9,30.65,17.93,0.0,93.6,102.6
07-12-2018 18:00,6682,12.96,35.51,7.388,3.458,0.207,26.81,25.31,24.9,-38.97,94.8,37.68,29.71,16.12,0.0,34.45,35.64
07-12-2018 18:30,6683,12.77,0.548,-0.575,-0.14,-0.521,26.34,24.96,24.68,-38.91,96.5,37.66,29.75,14.57,0.0,3.286,3.714
07-12-2018 19:00,6684,12.74,-0.051,-0.698,-0.2,-0.611,26,24.68,24.47,-39.1,97.1,37.73,29.81,14.57,0.0,1.887,2.674
07-12-2018 19:30,6685,12.73,-0.042,-0.688,-0.201,-0.654,25.75,24.5,24.32,-39.08,97.9,38.08,30.09,14.57,0.0,1.913,2.713
07-12-2018 20:00,6686,12.69,-0.043,-0.673,-0.202,-0.79,25.65,24.39,24.2,-39.18,97.7,38.39,30.33,15.34,0.0,1.754,2.06
07-12-2018 20:30,6687,12.66,-0.035,-0.665,-0.239,-0.732,25.5,24.31,24.11,-39.08,97.9,38.63,30.55,15.59,0.0,1.821,2.418
07-12-2018 21:00,6688,12.65,-0.042,-0.66,-0.271,-0.677,25.39,24.24,24.08,-39.03,98.1,38.78,30.54,15.76,0.0,1.769,2.302
07-12-2018 21:30,6689,12.63,-0.049,-0.653,-0.289,-0.43,25.28,24.17,24.01,-39.02,97.9,38.95,30.82,15.38,0.0,1.692,2.308
07-12-2018 22:00,6690,12.62,-0.038,-0.64,-0.291,-1.347,25.19,24.11,23.93,-39.02,98.2,39.12,30.87,15.16,0.0,1.899,2.541
07-12-2018 22:30,6691,12.6,-0.025,-0.628,-0.286,-1.712,25.11,24.02,23.81,-39.09,98.3,38.98,30.82,14.95,0.0,1.682,2.198
07-12-2018 23:00,6692,12.6,-0.029,-0.629,-0.28,-1.651,25.02,24.0,23.79,-39.13,98.4,39.12,30.9,15.0,0.0,1.957,2.648
07-12-2018 23:30,6693,12.56,-0.026,-0.63,-0.278,-2.12,24.98,23.94,23.75,-39.18,98.5,38.99,30.94,14.76,0.0,1.588,2.453
08-12-2018 00:00,6694,12.56,-0.029,-0.621,-0.269,-1.604,24.84,23.95,23.76,-39.12,98.4,38.93,30.77,15.04,0.0,2.078,2.844
08-12-2018 00:30,6695,12.57,-0.032,-0.6,-0.251,-1.406,24.91,23.75,23.57,-39.11,98.3,38.77,30.66,14.79,0.0,1.762,2.458
08-12-2018 01:00,6696,12.55,-0.028,-0.593,-0.233,-1.437,25.17,23.65,23.48,-39.23,98.6,38.57,30.53,15.56,0.0,2.054,2.743
08-12-2018 01:30,6697,12.54,-0.033,-0.593,-0.207,-0.775,25.98,23.57,23.38,-39.23,99.6,38.54,30.51,15.09,0.254,1.901,2.706
08-12-2018 02:00,6698,12.53,-0.018,-0.577,-0.17,-0.684,25.91,23.5,23.32,-39.24,99.8,38.61,30.55,17.29,0.0,1.606,2.443
08-12-2018 02:30,6699,12.52,-0.019,-0.563,-0.142,-1.017,25.45,23.48,23.3,-39.24,99.4,38.61,30.48,17.55,0.0,1.637,2.291
08-12-2018 03:00,6700,12.48,-0.003,-0.583,-0.131,-1.003,25.08,23.43,23.29,-39.16,99.3,39.34,31.1,18.49,0.0,1.791,2.55
08-12-2018 03:30,6701,12.48,-0.009,-0.614,-0.124,-0.986,24.43,23.31,23.18,-38.96,98.9,40.2,31.87,17.74,0.0,1.856,2.814
08-12-2018 04:00,6702,12.49,-0.012,-0.597,-0.113,-1.103,24.3,23.21,23.04,-39.02,98.8,40.2,31.9,19.17,0.0,1.907,2.887
08-12-2018 04:30,6703,12.46,-0.008,-0.589,-0.103,-1.185,24.23,23.11,22.95,-39.15,98.8,40.24,31.9,18.07,0.0,1.823,2.631
08-12-2018 05:00,6704,12.45,-0.011,-0.619,-0.104,-1.236,24.18,23.09,22.89,-39.03,98.7,40.64,32.28,16.7,0.0,1.446,2.292
08-12-2018 05:30,6705,12.42,0.013,-0.606,-0.095,-1.114,24.16,23.03,22.83,-38.94,98.7,40.73,32.36,17.04,0.0,1.494,2.577
08-12-2018 06:00,6706,12.4,6.755,0.606,0.418,-0.932,24.15,22.97,22.79,-38.98,98.7,40.82,32.43,16.91,0.0,5.803,6.659
08-12-2018 06:30,6707,12.48,58.25,9.0,3.481,-0.54,24.19,22.92,22.71,-39.13,98.7,40.92,32.4,17.98,0.0,35.1,40.68
08-12-2018 07:00,6708,12.89,97.5,17.72,7.567,0.112,24.32,23.14,22.9,-39.16,98.5,41.39,32.81,17.53,0.0,65.72,70.2
08-12-2018 07:30,6709,13.08,250.5,40.4,16.24,1.601,24.73,23.55,23.27,-39.19,98.4,42.15,33.33,18.34,0.0,134.2,175.2
08-12-2018 08:00,6710,13.6,532.8,63.03,22.68,2.805,27.17,24.33,23.86,-39.19,90.1,45.92,36.52,19.2,0.0,210.7,379.9
08-12-2018 08:30,6711,13.9,530.3,83.3,30.37,3.511,26.99,25.02,24.32,-39.08,86.7,49.26,39.6,18.2,0.0,256.4,385.0
08-12-2018 09:00,6712,14.06,456.9,121.4,43.15,7.915,26.82,25.65,24.83,-39.08,87.5,54.63,43.97,18.92,0.0,319.5,359.4
08-12-2018 09:30,6713,14.06,507.5,127.0,56.33,11.2,27.86,26.23,25.31,-39.14,83.6,62.66,50.21,16.36,0.0,376.0,411.0
08-12-2018 10:00,6714,14.12,503.7,115.1,60.54,12.63,27.76,26.5,25.71,-38.89,84.1,63.56,50.89,15.59,0.0,385.3,412.6
08-12-2018 10:30,6715,13.49,690.4,151.3,73.43,15.47,30.81,27.32,26.32,-39.12,81.6,66.01,52.9,14.07,0.0,497.7,558.5
08-12-2018 11:00,6716,13.5,643.0,183.0,70.07,14.35,31.57,27.93,27.07,-38.23,78.68,66.42,53.43,14.46,0.0,439.9,677.1
08-12-2018 11:30,6717,13.49,499.6,110.3,72.65,13.24,29.67,28.37,27.31,-38.99,74.33,68.1,54.81,13.71,0.0,386.2,702.6
08-12-2018 12:00,6718,13.51,393.4,79.62,47.12,9.94,26.94,25.12,24.57,-16.77,90.5,55.1,45.35,14.83,10.92,302.1,311.2
08-12-2018 12:30,6719,13.49,473.4,95.3,68.95,14.74,27.88,25.81,25.03,16.71,89.8,56.47,45.35,16.56,0.0,326.8,358.0
08-12-2018 13:00,6720,13.5,233.3,40.65,27.15,4.315,27.63,25.8,25.24,15.55,90.7,56.24,45.07,16.25,0.0,163.0,169.7
08-12-2018 13:30,6721,13.33,95.6,16.94,11.92,1.059,26.98,25.4,25.09,4.878,93.9,51.93,41.41,16.95,0.0,70.86,74.78
08-12-2018 14:00,6722,13.51,120.4,22.07,15.03,2.03,25.84,24.6,24.4,0.347,96,48.25,38.53,15.68,0.0,75.7,78.82
08-12-2018 14:30,6723,13.51,68.38,13.78,8.99,1.551,25.85,24.39,24.18,1.73,96.7,44.91,35.78,15.76,0.508,44.56,47.0
08-12-2018 15:00,6724,13.53,84.7,17.43,10.73,1.358,25.21,24.11,23.92,-9.05,97.5,43.2,34.4,15.66,0.254,59.21,61.93
08-12-2018 15:30,6725,13.52,138.5,26.99,18.06,3.308,25.07,24.03,23.84,16.53,97.5,43.35,34.52,14.3,0.254,101.9,105.2
08-12-2018 16:00,6726,13.51,161.8,31.11,22.19,8.72,25.21,24.22,23.98,19.42,97,45.56,36.17,15.21,0.0,124.9,129.7
08-12-2018 16:30,6727,13.51,154.9,29.36,22.74,6.08,25.29,24.29,24.01,19.49,96.1,46.21,36.6,17.43,0.0,116.4,124.2
08-12-2018 17:00,6728,13.51,73.67,15.06,10.16,1.592,25.23,24.25,23.98,19.5,95.9,45.74,36.28,18.16,0.0,57.96,60.56
08-12-2018 17:30,6729,13.0,26.89,5.234,3.33,-0.265,25.11,24.11,23.86,19.51,96.6,42.77,33.99,18.33,0.0,22.31,23.65
