altura_cm,anchura_cm,categoria_producto
46.93250661,35.46471625,0
39.15800532,44.73822215,1
49.27640686,42.32830702,2
51.2494997,41.13671424,2
44.36204481,32.38263926,0
39.33318133,46.06483706,1
46.49548502,41.41741696,2
45.58231949,43.94935493,2
42.94746566,42.13958356,1
48.8640611,46.14475597,2
39.56669954,47.01583284,1
40.50941473,42.53195943,1
52.0903659,44.38505214,2
41.1856287,41.95326602,1
43.31416647,39.60621293,1
39.39347242,44.69252674,1
47.2492411,36.97480191,0
45.27322878,33.74101324,0
40.78558656,42.97630874,1
49.69808059,43.56232162,2
43.16931453,37.54388349,0
47.31888499,43.03158863,2
39.79482244,44.9929212,1
49.0015759,45.28528606,2
43.74381622,44.6764328,1
49.23842174,43.11424694,2
41.33490857,41.60013749,1
46.73009286,42.46988815,2
49.61562673,45.11597174,2
44.1544551,35.36701504,0
40.05601483,46.26429464,1
42.54440346,36.76092954,0
44.75715332,33.15472602,0
43.49427324,35.51955706,0
50.60150822,44.08753826,2
44.42572904,36.39032089,0
49.17616409,44.6692914,2
49.00930305,41.40264257,2
50.70809951,46.82606603,2
37.47587326,43.95615627,1
42.716476,45.17745444,1
39.13789629,43.55267751,1
41.98873278,37.81651887,0
41.01464359,33.71765075,0
46.15844315,37.36754921,0
51.60499365,42.64377702,2
48.62328963,45.57828763,2
38.97898004,35.30130311,0
48.4785448,41.313501,2
47.72349567,35.29782569,0
49.03134346,45.30225741,2
44.44517743,37.28467873,0
40.27125725,36.77130163,0
40.7359424,39.97366897,0
49.39926666,43.7527425,2
40.6930922,47.40048068,1
38.48477189,42.79140917,1
43.43242241,44.8938479,1
44.76754427,37.0276341,0
39.66276632,44.99753014,1
40.7747756,46.837951,1
45.66028359,44.28796571,2
47.11147765,45.23531012,2
49.47167779,45.29876445,2
44.2530955,31.86275172,0
44.342102,45.87113897,1
41.78678823,44.02808,1
44.85019186,38.3173796,0
43.9537531,36.33006012,0
50.86036554,43.54736972,2
40.78625938,44.39977269,1
42.82763764,48.25670494,1
41.3161897,47.16308995,1
41.58670356,39.69615608,0
40.86502123,37.10454134,0
41.1368717,44.15019831,1
44.48273634,35.02521693,0
48.02097741,40.12030178,2
41.59383132,43.10386005,1
37.58952259,41.07016783,1
47.32676654,45.52228289,2
47.66521055,35.95275054,0
49.75754979,44.83465622,2
43.30902867,34.41772857,0
50.07187135,43.7245365,2
41.04403005,43.83138898,1
50.16267767,43.67967896,2
42.58361134,33.95002501,0
43.64846871,38.57302323,0
42.83081956,34.15129855,0
